symbol,rows,samples_big,acc_big,signals_taken,signals_rate,acc_on_trades,precision_buy,precision_sell,mean_trade_after_fees,sharpe_trades,latest_price,latest_p_up,latest_signal,error
BTC/USDT,1000,200,0.575,29,0.725,0.5517241379310345,0.6363636363636364,0.5,-0.001240097360968676,-7.300411608572624,117923.99,0.23950531109131995,SELL,
ETH/USDT,1000,513,0.6213592233009708,69,0.6699029126213593,0.5797101449275363,0.6363636363636364,0.5277777777777778,-6.758440132733146e-05,-0.2662887943144081,4457.12,0.8043524081386122,BUY,
BNB/USDT,1000,416,0.5238095238095238,50,0.5952380952380952,0.62,0.6538461538461539,0.5833333333333334,-0.00041041972852935276,-2.0422770054375423,849.28,0.9021128178214486,BUY,
SOL/USDT,1000,592,0.4957983193277311,64,0.5378151260504201,0.46875,0.5151515151515151,0.41935483870967744,-0.003301253872641483,-13.20721281719242,191.94,0.633613822986807,HOLD,
XRP/USDT,1000,561,0.48672566371681414,63,0.5575221238938053,0.5555555555555556,0.5757575757575758,0.5333333333333333,-0.0011026084277630129,-5.60404110573432,3.1146,0.8757141088282396,BUY,
